SortType	TabSize	TabType	PercentSort	SortTime	UserTime	SystemTime	Memory
merge	21500	random	NULL	0.002890	0.00	0.00	2036
merge	21500	partlysorted	0.50	0.002889	0.00	0.00	2028
merge	21500	reversed	NULL	0.002892	0.00	0.00	2040
merge	22000	random	NULL	0.002960	0.00	0.00	2048
merge	22000	partlysorted	0.50	0.002968	0.00	0.00	2000
merge	22000	reversed	NULL	0.002981	0.00	0.00	1996
merge	22500	random	NULL	0.003015	0.00	0.00	1936
merge	22500	partlysorted	0.50	0.003029	0.00	0.00	1972
merge	22500	reversed	NULL	0.003022	0.00	0.00	2048
merge	23000	random	NULL	0.003097	0.00	0.00	2012
merge	23000	partlysorted	0.50	0.003089	0.00	0.00	1968
merge	23000	reversed	NULL	0.003100	0.00	0.00	1956
merge	23500	random	NULL	0.003159	0.00	0.00	2060
merge	23500	partlysorted	0.50	0.003172	0.00	0.00	1976
merge	23500	reversed	NULL	0.003176	0.00	0.00	2060
merge	24000	random	NULL	0.003256	0.00	0.00	1984
merge	24000	partlysorted	0.50	0.003072	0.00	0.00	2076
merge	24000	reversed	NULL	0.003026	0.00	0.00	1988
merge	24500	random	NULL	0.002986	0.00	0.00	2036
merge	24500	partlysorted	0.50	0.002981	0.00	0.00	2076
merge	24500	reversed	NULL	0.002983	0.00	0.00	2076
merge	25000	random	NULL	0.003054	0.00	0.00	2044
merge	25000	partlysorted	0.50	0.003041	0.00	0.00	2044
merge	25000	reversed	NULL	0.003059	0.00	0.00	2044
quick	2500	random	NULL	0.011805	0.01	0.00	1760
quick	2500	partlysorted	0.50	0.012066	0.01	0.00	1752
quick	2500	reversed	NULL	0.011805	0.01	0.00	1724
quick	3000	random	NULL	0.016593	0.01	0.00	1764
quick	3000	partlysorted	0.50	0.016290	0.01	0.00	1840
quick	3000	reversed	NULL	0.016467	0.01	0.00	1828
quick	3500	random	NULL	0.023168	0.01	0.00	1868
quick	3500	partlysorted	0.50	0.022697	0.02	0.00	1868
quick	3500	reversed	NULL	0.021437	0.02	0.00	1824
quick	4000	random	NULL	0.029514	0.03	0.00	1860
quick	4000	partlysorted	0.50	0.027745	0.02	0.00	1920
quick	4000	reversed	NULL	0.028274	0.02	0.00	1852
quick	4500	random	NULL	0.035630	0.03	0.00	1888
quick	4500	partlysorted	0.50	0.035567	0.03	0.00	1916
quick	4500	reversed	NULL	0.037432	0.03	0.00	1952
quick	5000	random	NULL	0.044330	0.04	0.00	1956
quick	5000	partlysorted	0.50	0.044892	0.04	0.00	1916
quick	5000	reversed	NULL	0.044945	0.04	0.00	1984
quick	5500	random	NULL	0.052426	0.05	0.00	1992
quick	5500	partlysorted	0.50	0.052690	0.05	0.00	2016
quick	5500	reversed	NULL	0.053403	0.05	0.00	1992
quick	6000	random	NULL	0.063382	0.06	0.00	2024
quick	6000	partlysorted	0.50	0.062607	0.06	0.00	1964
quick	6000	reversed	NULL	0.063758	0.06	0.00	1984
quick	6500	random	NULL	0.073137	0.07	0.00	2024
quick	6500	partlysorted	0.50	0.074192	0.07	0.00	2016
quick	6500	reversed	NULL	0.077697	0.07	0.00	2060
quick	7000	random	NULL	0.086289	0.08	0.00	2040
quick	7000	partlysorted	0.50	0.085457	0.08	0.00	2128
quick	7000	reversed	NULL	0.085728	0.08	0.00	2052
quick	7500	random	NULL	0.097359	0.09	0.00	2080
quick	7500	partlysorted	0.50	0.097171	0.09	0.00	2104
quick	7500	reversed	NULL	0.099704	0.10	0.00	2112
quick	8000	random	NULL	0.110112	0.11	0.00	2080
quick	8000	partlysorted	0.50	0.124963	0.12	0.00	2108
quick	8000	reversed	NULL	0.125806	0.12	0.00	2108
quick	8500	random	NULL	0.129835	0.12	0.00	2180
quick	8500	partlysorted	0.50	0.129626	0.13	0.00	2184
quick	8500	reversed	NULL	0.132906	0.13	0.00	2204
quick	9000	random	NULL	0.167169	0.16	0.00	2212
quick	9000	partlysorted	0.50	0.162393	0.15	0.00	2200
quick	9000	reversed	NULL	0.164466	0.16	0.00	2140
quick	9500	random	NULL	0.174748	0.17	0.00	2188
quick	9500	partlysorted	0.50	0.170189	0.17	0.00	2200
quick	9500	reversed	NULL	0.183583	0.18	0.00	2236
quick	10000	random	NULL	0.270274	0.26	0.00	2276
quick	10000	partlysorted	0.50	0.224188	0.22	0.00	2224
quick	10000	reversed	NULL	0.204296	0.20	0.00	2232
quick	10500	random	NULL	0.201335	0.20	0.00	2260
quick	10500	partlysorted	0.50	0.201155	0.20	0.00	2264
quick	10500	reversed	NULL	0.202623	0.20	0.00	2252
quick	11000	random	NULL	0.228540	0.22	0.00	2344
quick	11000	partlysorted	0.50	0.217383	0.21	0.00	2296
quick	11000	reversed	NULL	0.215404	0.21	0.00	2384
quick	11500	random	NULL	0.256703	0.25	0.00	2356
quick	11500	partlysorted	0.50	0.243271	0.24	0.00	2372
quick	11500	reversed	NULL	0.259479	0.26	0.00	2300
quick	12000	random	NULL	0.258387	0.25	0.00	2404
quick	12000	partlysorted	0.50	0.267032	0.25	0.00	2396
quick	12000	reversed	NULL	0.272966	0.27	0.00	2404
quick	12500	random	NULL	0.298098	0.29	0.00	2420
quick	12500	partlysorted	0.50	0.290740	0.28	0.00	2424
quick	12500	reversed	NULL	0.311633	0.31	0.00	2480
quick	13000	random	NULL	0.338400	0.33	0.00	2460
quick	13000	partlysorted	0.50	0.309843	0.31	0.00	2460
quick	13000	reversed	NULL	0.309348	0.31	0.00	2420
quick	13500	random	NULL	0.322059	0.32	0.00	2492
quick	13500	partlysorted	0.50	0.321374	0.32	0.00	2432
quick	13500	reversed	NULL	0.317610	0.31	0.00	2440
quick	14000	random	NULL	0.342249	0.33	0.00	2564
quick	14000	partlysorted	0.50	0.338762	0.33	0.00	2524
quick	14000	reversed	NULL	0.340979	0.34	0.00	2576
quick	14500	random	NULL	0.370314	0.37	0.00	2512
quick	14500	partlysorted	0.50	0.366631	0.36	0.00	2484
quick	14500	reversed	NULL	0.368393	0.36	0.00	2516
quick	15000	random	NULL	0.389957	0.39	0.00	2524
quick	15000	partlysorted	0.50	0.389146	0.38	0.00	2580
quick	15000	reversed	NULL	0.390928	0.39	0.00	2588
quick	15500	random	NULL	0.417938	0.41	0.00	2612
quick	15500	partlysorted	0.50	0.416796	0.41	0.00	2640
quick	15500	reversed	NULL	0.420413	0.41	0.00	2640
quick	16000	random	NULL	0.445951	0.44	0.00	2652
quick	16000	partlysorted	0.50	0.444573	0.44	0.00	2700
quick	16000	reversed	NULL	0.445374	0.44	0.00	2644
quick	16500	random	NULL	0.480267	0.48	0.00	2688
quick	16500	partlysorted	0.50	0.520450	0.51	0.00	2684
quick	16500	reversed	NULL	0.481600	0.48	0.00	2732
quick	17000	random	NULL	0.510300	0.51	0.00	2604
quick	17000	partlysorted	0.50	0.533856	0.53	0.00	2576
quick	17000	reversed	NULL	0.515393	0.51	0.00	2552
quick	17500	random	NULL	0.536660	0.53	0.00	2568
quick	17500	partlysorted	0.50	0.562815	0.56	0.00	2608
quick	17500	reversed	NULL	0.560920	0.56	0.00	2568
quick	18000	random	NULL	0.583664	0.58	0.00	2680
